地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
2,13219,17,狛江市,Komae-shi,65,507,210812,1155233,1644628,465028,4,2,4,-,1,1,9,1,-,5,-,-,-,-,1,8,3,5,6,1,5,2,-,7,20,18,11,-,4,51,49,31,-,12,-,-,-,-,2,54,27,63,62,11,51,17,-,24,x,x,4337,-,x,x,86152,x,-,13589,-,-,-,-,x,79528,36549,212358,x,x,89552,x,-,24473
2,13220,18,東大和市,Higashiyamato-shi,91,1298,543920,5293069,8971892,3418611,7,1,2,-,5,2,10,-,-,4,-,2,2,-,2,7,-,10,8,8,14,-,3,4,451,21,5,-,12,14,64,-,-,62,-,8,8,-,8,85,-,102,126,45,258,-,10,19,x,x,x,-,x,x,48292,-,-,98617,-,x,-,-,x,84307,-,194817,423444,49541,297913,-,x,15953
2,13221,19,清瀬市,Kiyose-shi,42,963,392181,1053161,1929397,823952,5,-,3,-,5,2,6,4,-,2,-,-,1,-,-,2,1,2,2,-,1,1,2,3,119,-,10,-,11,68,13,273,-,22,-,-,1,-,-,10,6,7,19,-,44,2,350,8,118711,-,x,-,6781,x,4157,755176,-,x,-,-,-,-,-,x,x,x,x,-,x,x,x,x
2,13222,20,東久留米市,Higashikurume-shi,98,3396,1849942,9156373,16291952,6681770,12,1,1,-,11,2,9,-,-,2,-,1,4,-,1,10,2,7,11,4,7,3,3,7,1653,205,1,-,33,4,59,-,-,4,-,3,33,-,3,96,16,96,98,33,78,37,17,927,4746786,x,x,-,36418,-,97584,-,-,x,-,x,130949,-,-,110480,x,251456,151597,22882,125527,65609,12277,4252735
2,13223,21,武蔵村山市,Musashimurayama-shi,224,4399,1617391,5203302,10341140,4847273,18,2,5,2,12,4,14,1,-,8,1,1,4,-,3,34,6,47,13,11,23,-,9,6,1601,5,101,6,218,48,106,6,-,65,2,2,39,-,7,378,43,837,155,140,256,-,364,20,4168775,-,148771,x,921417,94668,128491,x,-,37817,x,x,127898,-,2794,558393,123917,2235721,180472,216589,457314,-,899295,12282
2,13224,22,多摩市,Tama-shi,46,1150,428440,1885394,3294678,1347798,4,-,-,-,1,-,5,2,-,3,-,1,-,-,-,2,1,3,5,5,4,2,2,6,117,-,-,-,2,-,490,9,-,52,-,5,-,-,-,7,2,31,201,78,82,19,15,40,123541,-,-,-,x,-,1360878,x,-,x,-,x,-,-,-,x,-,x,1068459,318219,186259,x,x,41120
2,13225,23,稲城市,Inagi-shi,134,1892,931028,1410757,2990713,1481649,6,1,2,-,8,-,5,1,-,7,-,1,6,1,1,19,6,11,13,14,10,10,3,9,401,116,7,-,18,-,11,9,-,84,-,2,78,6,1,420,29,154,135,193,58,126,6,38,435410,x,x,-,1000,-,1797,x,-,132611,-,-,289773,-,-,877633,30720,114855,208631,218445,77339,139143,1269,36509
2,13227,24,羽村市,Hamura-shi,105,7567,3861135,42247075,67857086,23842789,1,-,2,-,3,-,8,2,-,2,-,-,1,2,3,16,5,11,8,7,9,2,13,10,4,-,4,-,43,-,144,139,-,14,-,-,15,263,61,214,704,60,100,108,116,26,5133,419,x,-,-,-,72959,-,134269,x,-,x,-,-,x,x,x,641487,1585136,56416,123680,1303450,259084,x,59407308,1326794
2,13228,25,あきる野市,Akiruno-shi,179,2442,1082943,2399861,4576199,2031561,11,2,5,8,7,3,7,-,-,12,-,-,8,1,2,18,1,32,10,8,19,2,12,11,155,23,22,36,17,58,19,-,-,117,-,-,52,2,150,158,12,202,315,60,372,10,485,177,101992,x,6451,28519,22063,x,16467,-,-,159043,-,-,205828,x,x,185070,x,313672,787377,46411,813693,x,999596,302418
2,13229,26,西東京市,Nishitokyo-shi,95,1015,458681,7229491,9242998,1872777,9,-,8,-,5,1,11,3,-,2,-,2,-,-,-,7,5,6,10,8,3,2,-,13,59,-,19,-,13,12,101,17,-,8,-,3,-,-,-,23,291,39,186,47,14,39,-,144,62803,-,3236,-,4525,x,194754,7959,-,x,-,x,-,-,-,14163,1586913,39416,283877,36658,x,x,-,6904273
1,13300,,郡部,All gun,412,8202,3558759,27379974,36046228,8196168,19,7,3,12,19,5,11,5,4,34,-,-,12,10,5,74,11,62,18,14,23,2,34,28,665,61,17,49,67,120,277,218,41,473,-,-,318,126,95,525,89,555,536,178,597,172,2726,297,1408045,46945,x,40671,x,x,904649,664014,x,782927,-,-,1742092,305403,182110,x,151294,1001803,1416549,197908,1687907,x,22948959,501307
1,13350,,島部,All islands,84,364,82830,105820,303505,172469,46,9,4,-,1,-,1,9,-,-,-,-,9,-,-,1,-,-,-,-,-,-,1,3,184,25,16,-,1,-,2,64,-,-,-,-,64,-,-,1,-,-,-,-,-,-,4,3,51061,37455,x,-,x,-,-,70720,-,-,-,-,134739,-,-,-,-,-,-,-,-,-,-,3391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 11   工業 11  MANUFACTURING INDUSTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-1  地域， 産業別事業所数， 従業者数及び製造品出荷額等 (平成27年) 11-1  ESTABLISHMENTS，EMPLOYEES，AND SHIPMENTS BY DISTRICT AND INDUSTRY ( 2015 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は，平成28年経済センサス-活動調査から，工業統計調査の範囲，定義に合わせた形で，東京都が集計した結果である。調査時点は平成28年6月1日現在であるが，事業所数，従事者数以外の項目については平成27年1年間のもの（１月から12月の合計）となっている。なお，全事業所についての数値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This table shows the results of tabulations made by the TMG in line with data covered and definitions used in manufacturing statistics of the 2016 Economic Census for Business Activity. Survey is as of June 1， 2016， but items other than the number of establishments and employees are for the one year of 2015 ( total from Jan. through Dec. ). Data in this table covers all establishments， regardless of the number of employees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1） 事業所数，従業者数以外の項目は個人経営調査票で把握した事業所は除く。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Items other than the number of establishments and employees exclude establishments revealed by the private management surveys. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「2016東京の工業　経済センサス-活動調査（平成27年工業統計相当集計結果）」 Source: Bureau of General Affairs， TMG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　万円) (Value in ten thousands of yen) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
