经济相关因素,Pearson系数,p值
出口货值,0.9605800963773568,2.7895300992477602e-14
旅客数据,0.9033573756354445,3.5881622757808056e-09
流动电话,0.9526647244622942,2.4879987679349833e-12
进出口货值,0.9414184616973034,2.415403847845113e-12
进口货值,0.9239499913367345,4.4529354720621425e-11
零售,0.9942478276916624,8.020245775395601e-24
