地域階層,地域コード,項番 Item number,地域,District,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees,総数 Total／年間商品販売額 Annual sales of goods,卸売業 Wholesale trade／事業所数 Number of establishments,卸売業 Wholesale trade／従業者数 Number of employees,卸売業 Wholesale trade／年間商品販売額 Annual sales of goods,小売業 Retail trade／事業所数 Number of establishments,小売業 Retail trade／従業者数 Number of employees,小売業 Retail trade／年間商品販売額 Annual sales of goods,小売業 Retail trade／売場面積 Sales floor space (m2)
2,13363,7,新島村,Niijima-mura,44,193,1406,4,28,180,40,165,1225,1669
2,13364,8,神津島村,Kozushima-mura,32,147,1426,7,53,1212,25,94,214,163
2,13381,9,三宅村,Miyake-mura,39,117,1708,6,12,45,33,105,1663,967
2,13382,10,御蔵島村,Mikurajima-mura,5,20,x,-,-,-,5,20,x,58
2,13401,11,八丈町,Hachijo-machi,88,447,5907,7,27,338,81,420,5570,6406
2,13402,12,青ヶ島村,Aogashima-mura,1,4,-,-,-,-,1,4,-,-
2,13421,13,小笠原村,Ogasawara-mura,30,130,1163,1,2,-,29,128,1163,875
,,,,,,,,,,,,,,
東京都統計年鑑（令和4年）TOKYO STATISTICAL YEARBOOK ( 2022 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,
12-1  卸売業，小売業の地域別事業所数，従業者数，年間商品販売額及び売場面積 (令和3年) 12-1 WHOLESALE AND RETAIL TRADE ESTABLISHMENTS， EMPLOYEES， ANNUAL SALES OF GOODS， AND SALES FLOOR SPACES BY DISTRICT ( 2021 ),,,,,,,,,,,,,,
この表は，経済センサス活動調査によるものであり，調査時点は令和3年6月1日である。,,,,,,,,,,,,,,
The table is based on the results of the Economic Census for Business Activity conducted on June 1， 2021.,,,,,,,,,,,,,,
資料：総務省統計局・経済産業省 「令和3年経済センサス-活動調査報告」 Source: Statistics Bureau， Ministry of Internal Affairs and Communications; Ministry of Economy， Trade and Industry,,,,,,,,,,,,,,
地域階層 (0:東京都　1:区部・市部・郡，島部　2:区市町村),,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,
